gcp,folder,image,x,y
1,100,566,2969,2057
1,100,836,1513,2796
1,100,832,1726,1924
1,100,562,3046,1206
1,100,828,1953,1087
1,100,558,3111,446
1,100,824,2149,303
1,101,103,466,1946
2,100,271,2727,2499
2,100,267,2751,1626
2,100,263,2711,716
2,100,514,1519,2882
2,100,510,1515,1965
2,100,506,1465,1036
2,100,77,3856,2082
2,100,73,3678,891
3,103,171,2024,2244
3,103,167,2091,1351
3,103,43,3287,1515
3,103,47,3254,2365
3,103,175,1900,3159
3,103,163,2093,442
3,103,39,3334,645
4,102,523,2275,1997
4,102,718,1019,2096
4,102,309,3392,1279
4,102,313,3350,2149
4,102,317,3281,2967
4,102,527,2273,2801
4,102,84,4558,1284
5,100,299,3165,1960
5,100,303,3025,3046
5,100,546,1787,3128
5,100,542,1913,2201
5,100,538,2043,1306
5,100,295,3262,1050
5,100,105,4166,1794
5,100,808,666,1976
6,102,132,2432,2307
6,102,128,2588,1452
6,102,136,2280,3242
6,102,357,1264,1873
6,101,897,3633,1811
6,101,901,3604,2978
6,102,124,2729,642
7,101,349,1876,1587
7,101,71,3006,1747
7,100,800,4129,1908
7,101,67,3110,955
7,101,345,1973,804
7,101,353,1777,2378
7,101,629,783,1474
9,102,341,2856,2669
9,102,345,2705,3432
9,102,555,1664,3241
9,102,551,1815,2437
9,102,547,1926,1658
9,102,333,3124,1152
8,101,865,1755,1414
8,101,613,2952,1265
8,101,617,2848,2075
8,101,621,2713,2872
8,101,873,1492,3247
8,101,869,1620,2420
8,101,861,1840,609
8,102,104,505,2266
