# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z
target 10,4.611000,0.000000,0.095500
target 11,5.109000,0.000000,0.090000
target 12,5.607000,0.000000,0.086000
target 13,6.103000,0.000000,0.073000
target 14,6.596000,0.000000,0.067000
target 15,7.088000,0.000000,0.056000
target 16,7.588000,0.000000,0.054000
target 17,8.088000,0.000000,0.037000
target 32,4.151000,2.362000,0.119000
target 33,4.677000,2.362000,0.100000
target 34,5.170000,2.362000,0.094000
target 35,5.674000,2.362000,0.081000
target 36,6.169000,2.362000,0.076000
target 37,6.671000,2.362000,0.063000
target 38,7.170000,2.362000,0.064000
target 39,7.669000,2.362000,0.051000
